"year";"industry";"wage";"wageLY";"LYDif";"YearDif"
2019;Tìba a dobıvání;37301.2500;36039.0000;+;1262.2500
2020;Tìba a dobıvání;37359.2500;37301.2500;+;58.0000
2021;Tìba a dobıvání;38068.0000;37359.2500;+;708.7500
2001;Ubytování, stravování a pohostinství;8655.2500;7518.2500;+;1137.0000
2002;Ubytování, stravování a pohostinství;9579.7500;8655.2500;+;924.5000
2003;Ubytování, stravování a pohostinství;9823.0000;9579.7500;+;243.2500
2004;Ubytování, stravování a pohostinství;10176.7500;9823.0000;+;353.7500
2005;Ubytování, stravování a pohostinství;10636.5000;10176.7500;+;459.7500
2006;Ubytování, stravování a pohostinství;11674.2500;10636.5000;+;1037.7500
2007;Ubytování, stravování a pohostinství;12373.5000;11674.2500;+;699.2500
2008;Ubytování, stravování a pohostinství;12471.5000;12373.5000;+;98.0000
2009;Ubytování, stravování a pohostinství;12333.5000;12471.5000;-;-138.0000
2010;Ubytování, stravování a pohostinství;13205.2500;12333.5000;+;871.7500
2011;Ubytování, stravování a pohostinství;13131.2500;13205.2500;-;-74.0000
2012;Ubytování, stravování a pohostinství;13256.7500;13131.2500;+;125.5000
2013;Ubytování, stravování a pohostinství;13735.0000;13256.7500;+;478.2500
2014;Ubytování, stravování a pohostinství;13968.5000;13735.0000;+;233.5000
2015;Ubytování, stravování a pohostinství;14841.5000;13968.5000;+;873.0000
2016;Ubytování, stravování a pohostinství;15697.0000;14841.5000;+;855.5000
2017;Ubytování, stravování a pohostinství;17472.7500;15697.0000;+;1775.7500
2018;Ubytování, stravování a pohostinství;19269.5000;17472.7500;+;1796.7500
2019;Ubytování, stravování a pohostinství;20928.5000;19269.5000;+;1659.0000
2020;Ubytování, stravování a pohostinství;19896.7500;20928.5000;-;-1031.7500
2021;Ubytování, stravování a pohostinství;20471.0000;19896.7500;+;574.2500
2001;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";13685.5000;12551.0000;+;1134.5000
2002;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";14764.0000;13685.5000;+;1078.5000
2003;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";15369.2500;14764.0000;+;605.2500
2004;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";16282.5000;15369.2500;+;913.2500
2005;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";17046.0000;16282.5000;+;763.5000
2006;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";18222.5000;17046.0000;+;1176.5000
2007;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";19804.2500;18222.5000;+;1581.7500
2008;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";21332.0000;19804.2500;+;1527.7500
2009;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";21364.2500;21332.0000;+;32.2500
2010;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";22035.7500;21364.2500;+;671.5000
2011;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";22809.7500;22035.7500;+;774.0000
2012;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";23323.7500;22809.7500;+;514.0000
2013;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";23129.7500;23323.7500;-;-194.0000
2014;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";23895.7500;23129.7500;+;766.0000
2015;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";24903.0000;23895.7500;+;1007.2500
2016;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";26089.0000;24903.0000;+;1186.0000
2017;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";28028.2500;26089.0000;+;1939.2500
2018;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";29975.2500;28028.2500;+;1947.0000
2019;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";32317.5000;29975.2500;+;2342.2500
2020;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";32469.5000;32317.5000;+;152.0000
2021;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";33601.5000;32469.5000;+;1132.0000
2001;"Veøejná správa a obrana; povinné sociální zabezpeèení";16841.2500;15460.2500;+;1381.0000
2002;"Veøejná správa a obrana; povinné sociální zabezpeèení";18446.2500;16841.2500;+;1605.0000
2003;"Veøejná správa a obrana; povinné sociální zabezpeèení";19849.5000;18446.2500;+;1403.2500
2004;"Veøejná správa a obrana; povinné sociální zabezpeèení";20855.2500;19849.5000;+;1005.7500
2005;"Veøejná správa a obrana; povinné sociální zabezpeèení";22241.0000;20855.2500;+;1385.7500
2006;"Veøejná správa a obrana; povinné sociální zabezpeèení";23284.5000;22241.0000;+;1043.5000
2007;"Veøejná správa a obrana; povinné sociální zabezpeèení";25037.0000;23284.5000;+;1752.5000
2008;"Veøejná správa a obrana; povinné sociální zabezpeèení";26201.2500;25037.0000;+;1164.2500
2009;"Veøejná správa a obrana; povinné sociální zabezpeèení";27034.5000;26201.2500;+;833.2500
2010;"Veøejná správa a obrana; povinné sociální zabezpeèení";26943.5000;27034.5000;-;-91.0000
2011;"Veøejná správa a obrana; povinné sociální zabezpeèení";26330.7500;26943.5000;-;-612.7500
2012;"Veøejná správa a obrana; povinné sociální zabezpeèení";26705.7500;26330.7500;+;375.0000
2013;"Veøejná správa a obrana; povinné sociální zabezpeèení";26744.5000;26705.7500;+;38.7500
2014;"Veøejná správa a obrana; povinné sociální zabezpeèení";27571.7500;26744.5000;+;827.2500
2015;"Veøejná správa a obrana; povinné sociální zabezpeèení";28858.7500;27571.7500;+;1287.0000
2016;"Veøejná správa a obrana; povinné sociální zabezpeèení";30478.7500;28858.7500;+;1620.0000
2017;"Veøejná správa a obrana; povinné sociální zabezpeèení";32961.2500;30478.7500;+;2482.5000
2018;"Veøejná správa a obrana; povinné sociální zabezpeèení";36313.2500;32961.2500;+;3352.0000
2019;"Veøejná správa a obrana; povinné sociální zabezpeèení";38684.0000;36313.2500;+;2370.7500
2020;"Veøejná správa a obrana; povinné sociální zabezpeèení";40644.0000;38684.0000;+;1960.0000
2021;"Veøejná správa a obrana; povinné sociální zabezpeèení";39731.0000;40644.0000;-;-913.0000
2001;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;19866.5000;18492.0000;+;1374.5000
2002;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;21697.5000;19866.5000;+;1831.0000
2003;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;23097.0000;21697.5000;+;1399.5000
2004;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;24738.7500;23097.0000;+;1641.7500
2005;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;26644.0000;24738.7500;+;1905.2500
2006;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;29211.2500;26644.0000;+;2567.2500
2007;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;31133.5000;29211.2500;+;1922.2500
2008;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;35418.2500;31133.5000;+;4284.7500
2009;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;39449.7500;35418.2500;+;4031.5000
2010;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;40295.7500;39449.7500;+;846.0000
2011;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;40201.5000;40295.7500;-;-94.2500
2012;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;42657.2500;40201.5000;+;2455.7500
2013;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;40761.7500;42657.2500;-;-1895.5000
2014;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;41093.7500;40761.7500;+;332.0000
2015;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;40452.5000;41093.7500;-;-641.2500
2016;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;41432.0000;40452.5000;+;979.5000
2017;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;43590.0000;41432.0000;+;2158.0000
2018;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;46374.5000;43590.0000;+;2784.5000
2019;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;49486.7500;46374.5000;+;3112.2500
2020;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;52360.5000;49486.7500;+;2873.7500
2021;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;55925.0000;52360.5000;+;3564.5000
2001;Vzdìlávání;13468.0000;12205.2500;+;1262.7500
2002;Vzdìlávání;14778.7500;13468.0000;+;1310.7500
2003;Vzdìlávání;16527.5000;14778.7500;+;1748.7500
2004;Vzdìlávání;17740.0000;16527.5000;+;1212.5000
2005;Vzdìlávání;18781.2500;17740.0000;+;1041.2500
2006;Vzdìlávání;20029.7500;18781.2500;+;1248.5000
2007;Vzdìlávání;21247.7500;20029.7500;+;1218.0000
2008;Vzdìlávání;22113.2500;21247.7500;+;865.5000
2009;Vzdìlávání;23416.0000;22113.2500;+;1302.7500
2010;Vzdìlávání;23023.0000;23416.0000;-;-393.0000
2011;Vzdìlávání;23771.5000;23023.0000;+;748.5000
2012;Vzdìlávání;24399.7500;23771.5000;+;628.2500
2013;Vzdìlávání;24822.7500;24399.7500;+;423.0000
2014;Vzdìlávání;25254.5000;24822.7500;+;431.7500
2015;Vzdìlávání;25719.7500;25254.5000;+;465.2500
2016;Vzdìlávání;26688.0000;25719.7500;+;968.2500
2017;Vzdìlávání;28343.2500;26688.0000;+;1655.2500
2018;Vzdìlávání;31442.5000;28343.2500;+;3099.2500
2019;Vzdìlávání;35355.5000;31442.5000;+;3913.0000
2020;Vzdìlávání;37978.2500;35355.5000;+;2622.7500
2021;Vzdìlávání;36892.0000;37978.2500;-;-1086.2500
2001;"Zásobování vodou; èinnosti související s odpady a sanacemi";14064.5000;13228.0000;+;836.5000
2002;"Zásobování vodou; èinnosti související s odpady a sanacemi";15140.5000;14064.5000;+;1076.0000
2003;"Zásobování vodou; èinnosti související s odpady a sanacemi";15782.5000;15140.5000;+;642.0000
2004;"Zásobování vodou; èinnosti související s odpady a sanacemi";16769.7500;15782.5000;+;987.2500
2005;"Zásobování vodou; èinnosti související s odpady a sanacemi";17698.5000;16769.7500;+;928.7500
2006;"Zásobování vodou; èinnosti související s odpady a sanacemi";18739.5000;17698.5000;+;1041.0000
2007;"Zásobování vodou; èinnosti související s odpady a sanacemi";19743.2500;18739.5000;+;1003.7500
2008;"Zásobování vodou; èinnosti související s odpady a sanacemi";21461.0000;19743.2500;+;1717.7500
2009;"Zásobování vodou; èinnosti související s odpady a sanacemi";22054.5000;21461.0000;+;593.5000
2010;"Zásobování vodou; èinnosti související s odpady a sanacemi";23046.5000;22054.5000;+;992.0000
2011;"Zásobování vodou; èinnosti související s odpady a sanacemi";23157.0000;23046.5000;+;110.5000
2012;"Zásobování vodou; èinnosti související s odpady a sanacemi";23717.5000;23157.0000;+;560.5000
2013;"Zásobování vodou; èinnosti související s odpady a sanacemi";23615.7500;23717.5000;-;-101.7500
2014;"Zásobování vodou; èinnosti související s odpady a sanacemi";24243.5000;23615.7500;+;627.7500
2015;"Zásobování vodou; èinnosti související s odpady a sanacemi";24760.5000;24243.5000;+;517.0000
2016;"Zásobování vodou; èinnosti související s odpady a sanacemi";25383.2500;24760.5000;+;622.7500
2017;"Zásobování vodou; èinnosti související s odpady a sanacemi";26930.2500;25383.2500;+;1547.0000
2018;"Zásobování vodou; èinnosti související s odpady a sanacemi";28724.2500;26930.2500;+;1794.0000
2019;"Zásobování vodou; èinnosti související s odpady a sanacemi";30708.5000;28724.2500;+;1984.2500
2020;"Zásobování vodou; èinnosti související s odpady a sanacemi";31514.5000;30708.5000;+;806.0000
2021;"Zásobování vodou; èinnosti související s odpady a sanacemi";31821.0000;31514.5000;+;306.5000
2001;Zdravotní a sociální péèe;13435.2500;11967.5000;+;1467.7500
2002;Zdravotní a sociální péèe;15166.2500;13435.2500;+;1731.0000
2003;Zdravotní a sociální péèe;16458.2500;15166.2500;+;1292.0000
2004;Zdravotní a sociální péèe;16873.5000;16458.2500;+;415.2500
2005;Zdravotní a sociální péèe;17606.5000;16873.5000;+;733.0000
2006;Zdravotní a sociální péèe;19041.5000;17606.5000;+;1435.0000
2007;Zdravotní a sociální péèe;20165.7500;19041.5000;+;1124.2500
2008;Zdravotní a sociální péèe;21173.0000;20165.7500;+;1007.2500
2009;Zdravotní a sociální péèe;23018.5000;21173.0000;+;1845.5000
2010;Zdravotní a sociální péèe;23590.7500;23018.5000;+;572.2500
2011;Zdravotní a sociální péèe;24678.2500;23590.7500;+;1087.5000
2012;Zdravotní a sociální péèe;25076.2500;24678.2500;+;398.0000
2013;Zdravotní a sociální péèe;25130.7500;25076.2500;+;54.5000
2014;Zdravotní a sociální péèe;25766.5000;25130.7500;+;635.7500
2015;Zdravotní a sociální péèe;26963.0000;25766.5000;+;1196.5000
2016;Zdravotní a sociální péèe;28281.2500;26963.0000;+;1318.2500
2017;Zdravotní a sociální péèe;30920.0000;28281.2500;+;2638.7500
2018;Zdravotní a sociální péèe;33863.2500;30920.0000;+;2943.2500
2019;Zdravotní a sociální péèe;37321.5000;33863.2500;+;3458.2500
2020;Zdravotní a sociální péèe;41043.0000;37321.5000;+;3721.5000
2021;Zdravotní a sociální péèe;47202.5000;41043.0000;+;6159.5000
2001;Zemìdìlství, lesnictví, rybáøství;11432.0000;10452.2500;+;979.7500
2002;Zemìdìlství, lesnictví, rybáøství;11809.2500;11432.0000;+;377.2500
2003;Zemìdìlství, lesnictví, rybáøství;12188.2500;11809.2500;+;379.0000
2004;Zemìdìlství, lesnictví, rybáøství;13234.5000;12188.2500;+;1046.2500
2005;Zemìdìlství, lesnictví, rybáøství;13948.5000;13234.5000;+;714.0000
2006;Zemìdìlství, lesnictví, rybáøství;14817.7500;13948.5000;+;869.2500
2007;Zemìdìlství, lesnictví, rybáøství;16187.5000;14817.7500;+;1369.7500
2008;Zemìdìlství, lesnictví, rybáøství;17763.7500;16187.5000;+;1576.2500
2009;Zemìdìlství, lesnictví, rybáøství;17644.5000;17763.7500;-;-119.2500
2010;Zemìdìlství, lesnictví, rybáøství;18448.2500;17644.5000;+;803.7500
2011;Zemìdìlství, lesnictví, rybáøství;18985.7500;18448.2500;+;537.5000
2012;Zemìdìlství, lesnictví, rybáøství;19829.7500;18985.7500;+;844.0000
2013;Zemìdìlství, lesnictví, rybáøství;20519.2500;19829.7500;+;689.5000
2014;Zemìdìlství, lesnictví, rybáøství;21298.5000;20519.2500;+;779.2500
2015;Zemìdìlství, lesnictví, rybáøství;21643.5000;21298.5000;+;345.0000
2016;Zemìdìlství, lesnictví, rybáøství;22620.2500;21643.5000;+;976.7500
2017;Zemìdìlství, lesnictví, rybáøství;23803.5000;22620.2500;+;1183.2500
2018;Zemìdìlství, lesnictví, rybáøství;25466.7500;23803.5000;+;1663.2500
2019;Zemìdìlství, lesnictví, rybáøství;28031.2500;25466.7500;+;2564.5000
2020;Zemìdìlství, lesnictví, rybáøství;28705.0000;28031.2500;+;673.7500
2021;Zemìdìlství, lesnictví, rybáøství;27626.0000;28705.0000;-;-1079.0000
2001;Zpracovatelskı prùmysl;13754.7500;12835.5000;+;919.2500
2002;Zpracovatelskı prùmysl;14660.7500;13754.7500;+;906.0000
2003;Zpracovatelskı prùmysl;15410.5000;14660.7500;+;749.7500
2004;Zpracovatelskı prùmysl;16578.2500;15410.5000;+;1167.7500
2005;Zpracovatelskı prùmysl;17355.5000;16578.2500;+;777.2500
2006;Zpracovatelskı prùmysl;18481.7500;17355.5000;+;1126.2500
2007;Zpracovatelskı prùmysl;19842.5000;18481.7500;+;1360.7500
2008;Zpracovatelskı prùmysl;21570.2500;19842.5000;+;1727.7500
